"명호","단축명호","등록번호","생년월일","산차","검정일","최근분만일","최근건유일","누적착유일수","유량","유지율","유단백질","무지고형분율","체세포수천","mun","x305일유량","x305일유지량","x305일유단백","x305일무지고형분량","성년형유량","성년형유지량","성년형유단백량","성년형무지고형분량","분만난이","가수제코드","가수제일자","농후사료비","농후사료급여량","공태일수","최종수정일자","촤종수정횟수","최종수정정액코드","체점수","분만후첫수정일까지일수","전산차비유지속성","현재산차비유지속성","비유최고도달일수","비유후기최고유량","비유초기평균유지율","비유초기평균단백율","비유초기평균Mun","최고유량체세포","건유전마지막유량","전산차건유전유량"
158,"258",500974940,"2013-07-04",3,"2018-05-19","2018-01-04",NA,135,40,3.36,3.37,9.29,253,9.4,10451,367,364,960,10187,359,363,962,1,85,"2018-01-04",2600,10,143,"2018-05-27",3,NA,NA,52,59.7,0,39,43,3.79,3.34,9,279,35,23
192,"301",501059814,"2014-12-05",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
425,"359",501184511,"2017-03-13",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
462,"364",501200371,"2017-06-04",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
404,"370",501216871,"2017-10-09",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
297,"366",501218269,"2017-07-23",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
280,"383",501229816,"2018-01-06",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
286,"310",501089892,"2015-06-23",1,"2018-05-19","2017-05-06","2018-05-03",362,0,0,0,0,0,0,7937,338,279,749,9001,395,323,878,1,12,"2018-05-03",520,2,146,"2017-09-29",3,NA,NA,99,0,97.6,167,28.6,3.43,3.19,9,24,0,0
583,"180",500768090,"2009-12-17",4,"2018-05-19","2016-07-02","2018-02-13",591,0,0,0,0,0,0,9730,392,306,846,10280,412,320,890,1,12,"2018-02-13",520,2,410,"2017-08-16",3,NA,NA,132,78.4,71.4,79,43.4,3.94,2.43,10,73,92,15.4
195,"223",500907539,"2012-04-16",4,"2018-05-19","2018-01-01",NA,138,48.2,3.41,2.75,8.42,45,12.1,13158,535,391,1125,12716,517,380,1096,1,81,"2018-01-01",2600,10,0,"2018-06-23",2,NA,NA,134,82.4,0,105,56.2,4.2,3.03,11,10,56,31.6
181,"379",501004764,"2014-01-05",2,"2018-05-19","2017-09-03","2018-06-13",258,37.8,4.26,2.9,8.92,26,10.9,12347,466,384,1120,13027,491,406,1195,1,81,"2017-09-03",2600,10,65,"2017-11-07",1,NA,NA,66,65.5,0,47,48.8,3.73,3.33,12,57,58,23.2
169,"323",501115601,"2015-11-20",1,"2018-05-19","2018-01-08",NA,131,27,4.2,3.41,9.77,23,11.9,8337,380,287,764,9060,425,322,862,1,81,"2018-01-08",2600,10,125,"2018-05-13",1,NA,NA,126,0,0,157,28.8,5,3.67,10,41,0,0
326,"261",500987009,"2013-09-10",2,"2018-05-19","2017-07-28",NA,295,35.8,3.58,3.09,8.38,34,10.5,12526,466,365,1043,13313,500,392,1134,1,82,"2017-07-28",2600,10,259,"2018-04-13",2,NA,NA,99,87.7,69.1,84,51.8,3.69,2.71,11,50,68,21.8
426,"275",501010770,"2014-01-25",2,"2018-05-19","2017-04-16",NA,398,29.6,3.36,3.13,8.92,105,10.9,11884,415,349,1022,12050,434,364,1077,1,82,"2017-04-16",2600,10,409,"2018-05-30",6,NA,NA,122,81.4,52.5,61,51.8,3.33,2.67,12,7,67,20.2
390,"307",501072333,"2015-03-26",1,"2018-05-19","2017-03-15",NA,430,30,3.98,3.37,9.39,26,10.4,10003,408,313,893,10918,459,351,1012,1,82,"2017-03-15",2600,10,340,"2018-02-18",4,NA,NA,99,0,94.5,93,37.2,4.58,2.97,8,20,0,0
437,"270-10",501061293,"2014-10-01",2,"2018-05-19","2018-01-08",NA,131,36.4,3.03,2.9,8.67,48,9.1,10628,397,340,932,10769,408,358,986,1,82,"2018-01-08",2600,10,134,"2018-05-22",2,NA,NA,105,0,0,98,46,4.16,3.17,8,55,57,29.4
67,"230",500932239,"2012-09-16",3,"2018-05-19","2017-06-04","2018-07-13",349,24.6,3.47,3.25,9.34,49,11,10842,339,326,973,11139,351,339,1018,1,85,"2017-06-04",2600,10,191,"2017-12-12",2,NA,NA,80,60.8,66.2,42,46.8,3.02,3.06,10,12,101,24.8
537,"331",501134198,"2016-05-03",1,"2018-05-19","2018-03-07",NA,73,33.2,3.63,3,9.17,47,8.7,0,0,0,0,0,0,0,0,1,88,"2018-03-07",2600,10,0,"2018-07-17",3,NA,NA,82,0,0,99,34,4.28,3.39,8,12,0,0
539,"292",501046081,"2014-09-23",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
120,"299",501059812,"2014-11-24",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
366,"339",501154214,"2016-07-17",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2017-10-20",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
311,"342",501154216,"2016-07-30",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2017-10-20",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
64,"361",501190095,"2017-03-31",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2018-06-05",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
371,"381",501229815,"2017-12-24",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
510,"384",501229817,"2018-01-08",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
171,"375",501229862,"2017-10-24",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
13,"200",500837336,"2010-11-19",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
463,"190",500806323,"2010-06-27",4,"2018-05-19","2017-09-11","2018-06-13",250,27.6,3.63,3,8.8,105,11,11633,449,364,1041,12505,474,378,1089,1,81,"2017-09-11",2600,10,60,"2017-11-10",1,NA,NA,61,62,0,96,48.8,4.37,3.08,13,23,63,18.2
233,"260",500981876,"2013-08-25",3,"2018-05-19","2017-10-22","2018-07-26",209,41.2,3.66,3.35,9.1,28,11.3,12200,443,411,1105,12487,451,420,1136,1,82,"2017-10-22",2600,10,59,"2017-12-20",1,NA,NA,60,60.8,66.3,86,50.4,3.08,3.16,13,27,50,26
540,"328",501127672,"2016-03-14",1,"2018-05-19","2018-05-08",NA,11,16.6,3.32,3.13,8.89,224,10,0,0,0,0,0,0,0,0,1,82,"2018-05-08",2600,10,0,NA,NA,NA,NA,NA,0,0,37,28,3.73,2.74,11,66,0,0
403,"161",500671572,"2008-10-01",7,"2018-05-19","2017-12-21",NA,149,45,3.42,3.24,8.86,148,12.6,13318,543,455,1195,13535,548,455,1199,1,82,"2017-12-21",2600,10,176,"2018-06-15",2,NA,NA,136,70.1,0,26,52.8,4.4,3.27,10,18,59,19.2
267,"330",501134199,"2016-04-20",1,"2018-05-19","2018-03-10",NA,70,30.6,4.18,3.1,9.06,75,10,0,0,0,0,0,0,0,0,1,88,"2018-03-10",2600,10,0,NA,NA,NA,NA,NA,0,0,96,33.6,3.97,3.29,9,63,0,0
155,"224",500907541,"2012-04-26",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
530,"271",501008804,"2013-12-11",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
168,"277",501015132,"2014-03-03",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
466,"281",501033171,"2014-06-10",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
514,"322",501115599,"2015-11-03",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
368,"340",501154574,"2016-07-17",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2017-10-20",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
205,"352",501178986,"2016-12-21",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2018-02-27",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
52,"349",501172227,"2016-11-18",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2018-06-10",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
562,"362",501195929,"2017-04-16",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2018-08-05",2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
550,"0379",501229814,"2017-12-21",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
472,"335",501150339,"2016-07-02",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,NA,0,0,0,"2017-08-22",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
388,"288",501044713,"2014-08-12",1,"2018-05-19","2016-08-16","2018-05-17",639,0,0,0,0,0,0,8559,356,285,768,9718,409,327,893,1,12,"2018-05-17",520,2,453,"2017-11-12",8,NA,NA,87,0,102.9,304,34,3.64,3.01,8,23,0,0
324,"253",500956313,"2013-03-21",3,"2018-05-19","2017-08-02","2018-04-17",258,0,0,0,0,0,0,7131,258,235,642,7633,276,251,696,1,12,"2018-04-17",520,2,79,"2017-10-20",2,NA,NA,41,40.4,0,47,35.4,3.5,3.29,8,47,73,9.6
554,"145",500622014,"2007-12-02",7,"2018-05-19","2018-01-05",NA,134,42.4,3.41,3.08,9.04,48,11.9,12858,479,406,1150,12958,484,416,1175,1,21,"2018-01-05",2600,10,132,"2018-05-17",1,NA,NA,133,75,0,70,51.8,3.84,3,9,14,0,20.8
34,"226",500929508,"2012-08-03",3,"2018-05-19","2017-10-25",NA,206,42,2.89,2.86,8.5,160,9.4,13141,461,391,1130,13332,463,392,1135,1,81,"2017-10-25",2600,10,113,"2018-02-15",1,NA,NA,114,62.9,31.7,52,60.6,3.78,2.93,11,121,181,11.8
228,"263",500998224,"2013-10-28",2,"2018-05-19","2017-05-18","2018-06-13",366,23.4,3.88,3.28,9.08,109,10.3,10244,275,312,886,10494,287,328,939,1,81,"2017-05-18",520,2,174,"2017-11-08",2,NA,NA,98,99.2,76.5,29,45.2,2.13,2.85,9,9,65,27.6
119,"274",501008807,"2013-12-20",2,"2018-05-19","2017-09-11",NA,250,34.6,3.29,3.4,8.96,280,10.5,12489,471,399,1099,13153,496,421,1169,1,81,"2017-09-11",2600,10,257,"2018-05-26",5,NA,NA,90,70.4,64.8,96,50.6,3.69,3.03,11,56,63,25.4
490,"302",501072392,"2015-01-16",2,"2018-05-19","2018-01-04",NA,135,42,3.39,3.15,9.15,99,10.1,10608,419,370,991,10885,437,395,1062,1,81,"2018-01-04",2600,10,148,"2018-06-01",2,NA,NA,44,81.9,0,39,44.4,3.72,3.31,8,83,59,29
5,"309",501089893,"2015-06-01",1,"2018-05-19","2017-12-04",NA,166,37.6,3.54,3.02,8.9,53,12.6,10305,423,314,865,10677,446,337,927,1,81,"2017-12-04",2600,10,138,"2018-04-21",1,NA,NA,139,0,0,70,38.2,4.76,3.09,11,42,0,0
434,"312",501098027,"2015-07-28",1,"2018-05-19","2017-06-08","2018-06-13",345,28.6,4.25,3.26,9.32,183,11.1,8844,357,275,801,9989,411,313,923,1,81,"2017-06-08",2600,10,155,"2017-11-10",4,NA,NA,66,0,109.5,191,33.2,3.61,2.9,7,117,0,0
285,"376",500999291,"2013-12-09",3,"2018-05-19","2018-01-07",NA,132,44,3.76,3.23,9.17,26,10.7,11837,483,406,1107,11641,478,411,1127,1,82,"2018-01-07",2600,10,0,NA,NA,NA,NA,NA,88.2,0,36,47.8,3.86,3.38,9,18,56,29.2
555,"267",500998124,"2013-11-28",2,"2018-05-19","2017-03-10",NA,435,33.4,4.21,3.65,9.34,45,10.7,12776,468,412,1143,12865,484,430,1202,1,82,"2017-03-10",2600,10,346,"2018-02-19",6,NA,NA,92,78.2,78.1,98,54,3.54,3.2,8,8,68,25.8
336,"321",501111424,"2015-10-22",1,"2018-05-19","2018-05-16",NA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,82,"2018-05-16",2600,10,0,NA,NA,NA,NA,NA,0,0,29,36,3.09,2.69,10,161,0,0
580,"303",501072395,"2015-01-18",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
586,"353",501178987,"2016-12-31",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
405,"358",501184509,"2017-03-10",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2018-06-03",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
342,"360",501184512,"2017-03-15",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2018-06-03",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
579,"377",501229864,"2017-11-11",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
597,"256-10",501055271,"2014-08-06",1,"2018-05-19","2016-12-29","2018-04-07",464,0,0,0,0,0,0,10206,440,329,891,10628,466,355,961,1,12,"2018-04-07",520,2,250,"2017-09-05",1,NA,NA,251,0,91.8,169,36.6,0,0,0,10,0,0
232,"265",500998126,"2013-11-22",2,"2018-05-19","2017-11-05",NA,195,44.2,3.14,3.16,8.78,125,11.5,13118,469,433,1173,13121,469,440,1194,1,81,"2017-11-05",2600,10,144,"2018-03-29",2,NA,NA,92,60,47.3,41,56.2,3.59,3.32,13,19,61,21.8
59,"386",501032272,"2014-07-07",2,"2018-05-19","2017-08-29",NA,263,40.2,3.54,2.94,8.12,36,10,12808,443,387,1130,13948,486,427,1265,1,81,"2017-08-29",2600,10,109,"2017-12-16",1,NA,NA,110,0,61.4,52,53.4,3.51,2.89,12,11,59,36.2
134,"315",501101061,"2015-09-05",1,"2018-05-19","2017-10-10","2018-07-08",221,32.2,4.49,3.43,9.58,15,11.9,9905,411,312,871,10786,452,347,973,1,81,"2017-10-10",2600,10,54,"2017-12-03",1,NA,NA,55,0,0,67,34.6,3.9,3.02,11,20,0,0
230,"318",501106074,"2015-09-21",1,"2018-05-19","2017-10-24",NA,207,27.6,4.18,3.43,9.26,163,11.5,8127,344,273,720,8849,378,304,804,1,81,"2017-10-24",2600,10,178,"2018-04-20",4,NA,NA,67,0,72.7,111,30.6,4.35,3.46,10,91,0,0
323,"334",501144516,"2016-06-10",1,"2018-05-19","2018-05-09",NA,10,28.4,3.35,3.06,8.65,47,10.8,0,0,0,0,0,0,0,0,1,81,"2018-05-09",2600,10,0,NA,NA,NA,NA,NA,0,0,36,32.6,3.19,2.72,11,29,0,0
353,"9999",501229813,"2015-10-01",1,"2018-05-19","2017-11-24",NA,176,29.4,3.19,3.09,9.14,13,11.9,8480,287,256,727,9040,311,281,797,1,81,"2017-11-24",2600,10,149,"2018-04-22",2,NA,NA,126,0,81.2,143,30.4,0,0,0,125,0,0
522,"216",500898486,"2011-09-12",4,"2018-05-19","2018-03-30",NA,50,47.4,3.54,2.73,8.51,21,14.2,0,0,0,0,0,0,0,0,1,82,"2018-03-30",2600,10,0,NA,NA,NA,NA,NA,97.7,0,50,47.4,4.39,2.95,14,21,64,22.6
190,"219",500899123,"2012-01-18",4,"2018-05-19","2017-03-13","2018-07-26",432,31.6,4.84,3.49,9.02,337,11.4,11819,476,375,1024,11356,467,372,1019,1,82,"2017-03-13",2600,10,295,"2018-01-02",6,NA,NA,71,61.6,80.6,33,49.2,4.47,3.31,11,70,0,25
367,"317",501101063,"2015-09-07",1,"2018-05-19","2017-08-12",NA,280,24,4.52,3.51,9.43,84,9.8,7380,346,245,674,8414,399,282,786,1,82,"2017-08-12",2600,10,183,"2018-02-11",2,NA,NA,93,0,91.6,96,28.8,4.35,3.24,10,52,0,0
149,"332",501134197,"2016-05-11",1,"2018-05-19","2018-04-25",NA,24,29.6,3.23,2.92,8.69,38,10.2,0,0,0,0,0,0,0,0,1,82,"2018-04-25",2600,10,0,NA,NA,NA,NA,NA,0,0,50,35.6,3.34,2.91,10,168,0,0
176,"296",501059907,"2014-11-01",2,"2018-05-19","2017-12-16",NA,154,34.8,3.79,3.34,9.44,9,9.3,9255,370,324,882,9312,376,335,912,1,87,"2017-12-16",2600,10,64,"2018-02-18",1,NA,NA,65,86.9,0,90,36.4,3.6,3.27,9,11,56,19
247,"257",500967428,"2013-06-05",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
167,"289",501044714,"2014-08-26",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
128,"341",501154215,"2016-07-29",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2017-10-20",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
570,"357",501184508,"2017-03-09",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2018-06-22",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
113,"368",501217223,"2017-08-12",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
319,"373",501229860,"2017-10-19",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
211,"380",501237384,"2017-12-23",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
92,"385",501237727,"2018-02-03",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
565,"205",500837340,"2011-01-20",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2012-11-07",5,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
184,"346",501163882,"2016-10-14",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,NA,0,0,0,"2017-11-10",1,NA,NA,NA,0,0,1,0,0,0,0,0,0,0
448,"338",501154213,"2016-07-18",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,NA,0,0,0,"2017-10-20",1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
590,"241",500956322,"2012-11-14",3,"2018-05-19","2017-01-17","2018-03-13",420,0,0,0,0,0,0,9266,313,297,813,9094,309,300,825,1,12,"2018-03-13",520,2,226,"2017-08-31",1,NA,NA,227,45,47.5,88,40.4,3.37,2.93,6,74,64,8.8
528,"283",501033175,"2014-06-22",2,"2018-05-19","2017-06-24","2018-04-20",300,0,0,0,0,0,0,10044,347,311,889,10584,372,339,978,1,12,"2018-04-20",520,2,82,"2017-09-14",1,NA,NA,83,80.2,32.4,54,47.6,3.42,2.82,6,44,67,28.4
8,"311",501098026,"2015-07-12",1,"2018-05-19","2017-05-21","2018-05-20",363,29,4.76,3.65,9.51,250,9.7,9359,403,316,854,10613,471,366,1001,1,81,"2017-05-21",2600,10,153,"2017-10-21",3,NA,NA,60,0,81.7,26,35.8,3.74,2.95,10,77,0,0
140,"218",500899122,"2012-01-07",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2013-11-22",3,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
81,"278",501023542,"2014-04-04",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
369,"293",501046082,"2014-10-07",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
383,"300",501059813,"2014-12-05",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
551,"320",501106076,"2015-10-05",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
210,"350",501172228,"2016-12-03",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
291,"354",501184504,"2017-01-15",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
97,"356",501184506,"2017-02-11",0,"2018-05-19",NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,99,NA,0,0,0,"2018-07-13",2,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
